campaign_id,campaign_name,sub_category,category,country,launched,deadline,goal_usd,pledged_usd,backers,outcome
307,Jitter Bus Coffee,Food Trucks,Food,US,2015-03-10 00:00:00,2015-04-09 00:00:00,5000,5260,43,successful
308,Universal Plate Holder,Technology,Technology,AU,2017-07-08 00:00:00,2017-08-07 00:00:00,5112.05,15.85,3,failed
309,"Surreal Art Exhibition Tour of ""The Wrong Alice""",Painting,Art,GB,2015-07-13 00:00:00,2015-09-01 00:00:00,6148.97,144.12,4,failed
310,The Dove - short thriller film reminiscent of classic horror,Shorts,Film & Video,US,2011-02-22 00:00:00,2011-05-15 00:00:00,1500,1525,24,successful
311,VIS - 'Useful Power',Gadgets,Technology,US,2015-02-18 00:00:00,2015-03-30 00:00:00,30000,62367,431,successful
312,The Batik Fabric & Clothing Lifestyle,Fashion,Fashion,US,2013-02-06 00:00:00,2013-03-08 00:00:00,1500,100,1,failed
313,Global Water Shortage: The Fracking Water Loss Theory!,Print,Journalism,US,2016-08-04 00:00:00,2016-09-03 00:00:00,30000,70,4,failed
314,Midwest Underground,Webseries,Film & Video,US,2012-02-11 00:00:00,2012-03-16 00:00:00,10000,10121.73,41,successful
315,SWANKY SHAMPANE project,Theater,Theater,US,2011-03-04 00:00:00,2011-04-19 00:00:00,30000,1010,6,failed
316,HST - Anti Cyber Hacking  Hidden Sovereign Technology,Software,Technology,SE,2016-01-11 00:00:00,2016-02-10 00:00:00,32733.91,0,0,failed
317,I'm bringing good music back! Fans of Faith No More rejoice!,Rock,Music,US,2015-06-11 00:00:00,2015-07-11 00:00:00,3100,0,0,failed
318,Scream Guitars are playable electric guitars with custom art,Digital Art,Art,US,2014-11-06 00:00:00,2014-12-06 00:00:00,25000,9,6,failed
319,Buddha World,Documentary,Film & Video,US,2011-07-28 00:00:00,2011-08-27 00:00:00,4000,4081,41,successful
320,Jewelry In The Heart,Jewelry,Fashion,US,2017-03-05 00:00:00,2017-04-04 00:00:00,10000,0,0,failed
321,Goth Homme world tour 2018 (pt 1 of 10),Music,Music,US,2016-12-25 00:00:00,2017-02-23 00:00:00,6666,0,0,canceled
322,INTO MYSTERY: Clue 08  Tamref,Product Design,Design,US,2013-06-27 00:00:00,2013-08-25 00:00:00,18537,4280.66,86,failed
323,Bikepacking the Ring Road,Documentary,Film & Video,US,2014-05-12 00:00:00,2014-05-31 00:00:00,4000,780,8,failed
324,Maria Cardelli Luxury Fashion Accessories,Accessories,Fashion,NL,2015-03-05 00:00:00,2015-04-04 00:00:00,61291.97,2214.31,4,failed
325,Innovative American Mind: Crowd-Sourced Innovation Stories,Nonfiction,Publishing,US,2013-09-08 00:00:00,2013-10-08 00:00:00,14250,1170,13,failed
326,ANGELIC WARS (GRAPHIC NOVEL),Comics,Comics,US,2013-08-14 00:00:00,2013-09-13 00:00:00,1500,64,6,failed
327,launch of New Visions Art Studio,Ceramics,Art,US,2016-06-07 00:00:00,2016-07-06 00:00:00,10000,0,0,failed
328,The Get Away Kids,Shorts,Film & Video,US,2015-01-30 00:00:00,2015-03-01 00:00:00,5000,52,1,failed
329,"Fro-Joe's, Ocean City's First Rolled Ice Cream Shop",Restaurants,Food,US,2016-09-29 00:00:00,2016-11-28 00:00:00,70000,107,3,failed
330,Just Say M.O! Chapter's 1 & 2,Hip-Hop,Music,US,2014-05-10 00:00:00,2014-06-19 00:00:00,10000,0,0,failed
331,Tobacco Road Showcase,Theater,Theater,US,2012-01-07 00:00:00,2012-03-06 00:00:00,2500,0,0,failed
332,East Meets West Beef Stick Flavor-Sure to Please,Small Batch,Food,US,2017-06-27 00:00:00,2017-07-27 00:00:00,500,1505,40,successful
333,Creativity Knits: Artful Knitting Tools,Crafts,Crafts,US,2012-09-29 00:00:00,2012-10-13 00:00:00,750,10,1,failed
334,"One Hard-Working Couple, With a Goal, On an Organic Mission",Farms,Food,US,2015-03-28 00:00:00,2015-05-27 00:00:00,4000,4542,46,successful
335,Yooquik,DIY Electronics,Technology,IT,2016-05-13 00:00:00,2016-07-12 00:00:00,57488.29,14806.17,46,canceled
336,Life Size Rhinoceros in London,Public Art,Art,GB,2013-09-11 00:00:00,2013-09-15 00:00:00,8086.63,545.85,8,failed
337,Fr�hst�ck TV - A German-American Talk Show,Webseries,Film & Video,US,2013-06-12 00:00:00,2013-07-27 00:00:00,18500,4737.99,54,failed
338,Hub+ for USB-C: Get your MacBook ports back.,Hardware,Technology,US,2015-05-05 00:00:00,2015-06-16 00:00:00,35000,883460.8,8019,successful
339,Fight Fire With Fire,Documentary,Film & Video,US,2014-07-17 00:00:00,2014-08-07 00:00:00,20000,180,7,failed
340,THE PERFECT CHINO | CUSTOM MADE TO FIT YOU by Woodies,Apparel,Fashion,US,2016-04-19 00:00:00,2016-05-29 00:00:00,15000,112476.44,661,successful
341,State Flag Geography Cards,Publishing,Publishing,US,2012-12-06 00:00:00,2013-01-05 00:00:00,3000,3015,39,successful
342,The Danish Beer Adventure,Drinks,Food,DK,2017-08-24 00:00:00,2017-09-23 00:00:00,224.63,1.12,1,failed
343,Turn my imagination into physical forms of art.,Art,Art,AU,2016-01-11 00:00:00,2016-02-10 00:00:00,460.97,42.87,3,failed
344,Michael Lewis Rowland: My Brother's Keeper- a Memoir,Nonfiction,Publishing,US,2016-05-24 00:00:00,2016-06-23 00:00:00,8000,50,1,canceled
345,Ecofarm for High Functioning Autistic Adults,Farms,Food,US,2015-02-20 00:00:00,2015-03-22 00:00:00,30000,225,2,failed
346,Life Lessons - Netflix Series,Webseries,Film & Video,US,2015-04-19 00:00:00,2015-05-19 00:00:00,20000,0,0,failed
347,30 Day Itch,Shorts,Film & Video,US,2013-03-27 00:00:00,2013-04-26 00:00:00,5000,0,0,failed
348,"""Get Cocky"" Shorts",Apparel,Fashion,US,2014-09-11 00:00:00,2014-10-11 00:00:00,100,4228,164,successful
349,European Reversibles,Apparel,Fashion,US,2016-04-06 00:00:00,2016-05-31 00:00:00,30000,0,0,failed
350,The Audio Embodiment of the Culture of Food,Food,Food,US,2010-06-26 00:00:00,2010-07-30 00:00:00,1000,1438,14,successful
351,"Some Fear None: ""In Theater"" debut music video",Rock,Music,US,2014-06-21 00:00:00,2014-07-21 00:00:00,15000,830,16,failed
352,BreakingBad inspired Coffee Lab Walter's Coffee Roastery NYC,Food,Food,US,2015-10-05 00:00:00,2015-11-04 00:00:00,55000,28109,138,failed
353,Stanky and Amazing Gracie: Illustrated by Kailey Semmelmann,Children's Books,Publishing,US,2014-08-09 00:00:00,2014-09-20 00:00:00,5000,5275,77,successful
355,The Imposters,Live Games,Games,US,2017-04-11 00:00:00,2017-05-11 00:00:00,5000,7010,391,successful
356,The Dark Knight Trilogy: Mobile App Filming Locations,Comics,Comics,US,2013-10-22 00:00:00,2013-11-21 00:00:00,900,1,1,failed
357,The Water Table: Brooklyn's First Dinner Boat!,Food,Food,US,2013-02-08 00:00:00,2013-02-26 00:00:00,8000,868,14,failed
359,Police Brutality Posters,Art,Art,US,2012-01-22 00:00:00,2012-03-07 00:00:00,500,10,2,failed
360,First Gear - Motorprogrammet f�r alla,Film & Video,Film & Video,SE,2016-06-01 00:00:00,2016-06-30 00:00:00,271.26,46.11,10,failed
361,First Time Author fulfilling his Dreams,Fiction,Publishing,US,2010-11-16 00:00:00,2010-12-16 00:00:00,900,135,3,failed
362,Footsies - Pedaling Romance Below the Knees.,Shorts,Film & Video,US,2013-11-16 00:00:00,2013-12-16 00:00:00,3000,864,20,failed
363,Bedrooms of The Fallen,Photography,Photography,US,2011-01-25 00:00:00,2011-02-24 00:00:00,15000,16837,142,successful
